MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,AP_DIFF,SEMIMINOR_AXIS,ORBITAL_VELOCITY,TARGET,RCS_SIZE_MEDIUM,RCS_SIZE_SMALL
2.68103565,0.6924344,7.0455,339.5057,260.2886,21.482,21611,0.0049674,4.109e-05,0.0,21887.699,537.106,30665.36,353.768,30311.592,15791.555448196908,4.267453858474116,1,1,0
2.16307511,0.7165926,7.086,313.7486,296.0602,128.8665,16900,-0.001183,-1.91e-06,0.0,25255.392,665.719,36975.083,779.43,36195.653,17615.433072325504,3.972755439607755,1,1,0
2.21703772,0.7020744,6.9206,11.572,184.131,223.073,19271,0.0,-1.74e-06,0.0,24843.901,649.515,35908.033,1023.499,34884.534,17691.43133546302,4.005520814610364,1,1,0
10.37994013,0.1897648,65.6102,238.5713,31.8166,338.4431,8565,0.051724,0.00015528,0.0,8877.117,138.729,4183.546,814.418,3369.128,8715.816039979703,6.700896591125365,1,1,0
13.49629641,0.0067408,100.3344,151.9642,291.8206,198.6383,1539,0.0015047,9.17e-06,0.0,7451.758,106.696,1123.854,1023.393,100.461,7451.588700153677,7.313739988244629,1,0,1
13.65655702,0.0041863,88.8479,230.9806,55.4822,305.0279,6974,0.00051481,4.36e-06,0.0,7393.346,105.444,1046.162,984.26,61.90200000000005,7393.281215123739,7.342574678995277,1,0,1
13.73958733,0.0034468,82.9319,33.4606,71.2613,289.2282,2294,4.4663e-05,5.7e-07,0.0,7363.53,104.807,1010.775,960.014,50.76099999999997,7363.486258917841,7.357425235602679,0,0,0
13.75622682,0.0023215,82.9284,16.3871,19.6453,153.353,2410,2.8581e-05,4.3e-07,0.0,7357.591,104.68,996.536,962.375,34.160999999999945,7357.571173611695,7.360394069715615,0,0,0
14.29800183,0.0076344,100.0116,342.9046,189.2787,298.5577,46289,0.00076327,1.969e-05,0.0,7170.536,100.713,847.144,737.658,109.486,7170.32703296782,7.455779878441305,1,0,1
12.83514712,0.0312877,99.7002,243.6049,286.9136,196.6204,41278,0.00064012,1.5e-06,0.0,7705.508,112.192,1568.461,1086.285,482.17599999999993,7701.735537933525,7.192307550903288,1,0,1
13.50634323,0.0048916,100.0888,137.6819,336.2081,53.1771,47885,0.0011044,6.68e-06,0.0,7448.063,106.617,1106.361,1033.495,72.86600000000021,7447.973891770148,7.315553944328798,1,0,1
1.00269563,9.23e-05,0.0199,99.1951,130.1954,65.5617,603,0.0,-1.95e-06,0.0,42165.355,1436.129,35791.112,35783.328,7.783999999999651,42165.35482039056,3.0746168809353485,0,0,0
12.97965893,0.0298019,99.6437,64.4113,26.5411,95.1307,42653,-0.00066241,-2.75e-06,0.0,7648.207,110.943,1498.003,1042.141,455.8619999999999,7644.809855608815,7.219199956655975,1,0,1
13.28759107,0.011114,99.6563,306.8513,259.8336,113.8816,37054,0.00068077,2.81e-06,0.0,7529.584,108.372,1235.133,1067.766,167.36699999999996,7529.118954781272,7.275844296153277,1,0,1
13.92370147,0.0064857,99.5663,170.3579,348.2958,163.3719,44321,0.0019427,2.493e-05,0.0,7298.474,103.421,967.674,873.003,94.67099999999994,7298.320495769396,7.390143223396921,1,0,1
13.09808972,0.0256043,99.599,278.9487,208.1746,274.608,29512,0.00025871,6.7e-07,0.0,7602.035,109.94,1418.545,1029.255,389.29,7599.542719729551,7.24109016815815,1,0,1
13.22688945,0.0136739,99.7157,182.9813,163.509,320.3791,45120,-5.1602e-05,-6.3e-07,0.0,7552.604,108.869,1277.742,1071.195,206.54700000000005,7551.897890881952,7.264747609763404,1,0,1
13.63175525,0.006422,99.8015,333.6759,358.3483,119.9751,42324,0.002317,1.8e-05,0.0,7402.311,105.636,1071.714,976.638,95.07599999999992,7402.158355060106,7.338127005509684,1,0,1
12.21190692,0.0622582,99.627,276.4075,319.7435,219.1328,37393,0.00014594,-4e-08,0.0,7965.496,117.918,2083.279,1091.444,991.835,7950.043548036557,7.073957983131699,1,0,1
12.73187137,0.0368219,99.6973,94.2584,32.3576,31.3798,43459,0.00030406,4.9e-07,0.0,7747.121,113.102,1654.25,1083.722,570.528,7741.867242577083,7.172965108431378,1,0,1
13.32859015,0.0057072,99.948,15.7072,163.5278,210.6485,311,-3.54e-06,-4.5e-07,0.0,7514.136,108.038,1178.885,1093.116,85.769,7514.013623289247,7.283319509124341,1,0,1
13.7317311,0.0044261,99.6737,96.4395,209.4246,164.0269,48812,0.0010113,8.97e-06,0.0,7366.338,104.867,1020.807,955.599,65.20799999999997,7366.265845035505,7.356022800684007,1,0,1
13.26604871,0.0104057,99.9042,52.5809,276.4096,95.2561,5067,0.00024738,7e-07,0.0,7537.734,108.548,1238.034,1081.163,156.8710000000001,7537.325901338572,7.271909813431618,1,0,1
13.04226498,0.0283642,99.7373,257.0313,162.5324,332.0662,3134,0.0016794,6.13e-06,0.0,7623.712,110.41,1461.818,1029.337,432.481,7620.64463865114,7.230788306821933,1,0,1
12.93122011,0.0313326,99.2269,304.4889,335.8977,183.1248,29334,0.00033879,8e-07,0.0,7667.295,111.358,1529.396,1048.924,480.472,7663.53046208346,7.21020813097069,1,0,1
13.30169531,0.0083154,100.0137,243.7099,290.4781,188.0848,44176,0.00027121,8.5e-07,0.0,7524.261,108.257,1208.693,1083.559,125.134,7524.000859689602,7.278417470575024,1,0,1
12.7246214,0.0369277,99.7126,62.0388,112.2992,6.7788,37791,-0.00036594,-1.32e-06,0.0,7750.064,113.166,1658.121,1085.736,572.385,7744.777990444144,7.171603052532892,1,0,1
12.85021682,0.0514563,99.9121,69.8799,320.0833,98.4937,38059,0.0047985,2.034e-05,0.0,7699.483,112.06,1717.534,925.161,792.3730000000002,7689.283087644593,7.195121063118725,1,0,1
13.7187804,0.0042068,99.6999,234.1804,343.6907,134.7671,18521,-7.3697e-05,-1.13e-06,0.0,7370.973,104.966,1023.847,961.83,62.01699999999994,7370.907777044168,7.353709637463905,1,0,1
13.21802288,0.0117848,99.7729,250.2922,108.8411,18.2103,31559,0.0002915,8.5e-07,0.0,7555.981,108.942,1266.891,1088.8,178.09100000000012,7555.45628875186,7.263124008907698,1,0,1
13.59948933,0.0048557,99.7712,208.1187,25.2221,95.5619,46316,0.00032591,2e-06,0.0,7414.015,105.886,1071.88,999.879,72.00100000000009,7413.927596319996,7.332332617406571,1,0,1
12.64859368,0.044006,99.1694,169.2073,323.761,46.9132,24734,0.001007,2.39e-06,0.0,7781.088,113.847,1745.368,1060.539,684.829,7773.550201410683,7.157291812846732,1,0,1
13.12003621,0.0172108,99.7607,91.7787,247.8717,291.116,17474,0.00043563,1.27e-06,0.0,7593.555,109.756,1346.111,1084.729,261.38200000000006,7592.43026702685,7.245132234821617,1,0,1
